"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-01","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"90",",,W","73",",,W",,,"  250",",,W","  260",",,W","12.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-02","6.04",",,W",,,"0.85",",,W,2400","0.0",",,W,","0.0",",,W,",,,"88",",,W","69",",,W",,,"  250",",,W","  270",",,W","15.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-03","3.36",",,W",,,"0.87",",,W,2400","0.0",",,W,","0.0",",,W,",,,"78",",,W","66",",,W",,,"  250",",,W","  250",",,W","12.1",",,W","19.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-04","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"75",",,W","57",",,W",,,"   10",",,W","  340",",,W","13.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-05","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"74",",,W","58",",,W",,,"  160",",,W","  210",",,W","10.1",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-06","5.14",",,W",,,"0.13",",,W,2400","0.0",",,W,","0.0",",,W,",,,"70",",,W","59",",,W",,,"  150",",,W","  180",",,W","13.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-07","8.50",",,W",,,"4.16",",,W,2400","0.0",",,W,","0.0",",,W,",,,"63",",,W","59",",,W",,,"   70",",,W","   80",",,W","19.9",",,W","32.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-08","3.80",",,W",,,"0.48",",,W,2400","0.0",",,W,","0.0",",,W,",,,"77",",,W","57",",,W",,,"   60",",,W","   40",",,W","15.0",",,W","19.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-09","2.24",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"80",",,W","63",",,W",,,"  250",",,W","  270",",,W","10.1",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-10","5.82",",,W",,,"1.38",",,W,2400","0.0",",,W,","0.0",",,W,",,,"70",",,W","62",",,W",,,"  140",",,W","  150",",,W","14.1",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-11","6.49",",,W",,,"0.09",",,W,2400","0.0",",,W,","0.0",",,W,",,,"80",",,W","64",",,W",,,"  250",",,W","  270",",,W","16.1",",,W","30.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-12","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"76",",,W","65",",,W",,,"  310",",,W","  310",",,W","16.1",",,W","29.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-13","6.71",",,W",,,"1.26",",,W,2400","0.0",",,W,","0.0",",,W,",,,"69",",,W","55",",,W",,,"   70",",,W","   70",",,W","19.9",",,W","31.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-14","5.14",",,W",,,"0.38",",,W,2400","0.0",",,W,","0.0",",,W,",,,"72",",,W","53",",,W",,,"   60",",,W","   60",",,W","18.1",",,W","28.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-15","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"80",",,W","61",",,W",,,"  260",",,W","  270",",,W","12.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-16","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"80",",,W","65",",,W",,,"  260",",,W","  240",",,W","15.0",",,W","29.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-17","2.68",",,W",,,"0.01",",,W,2400","0.0",",,W,","0.0",",,W,",,,"84",",,W","69",",,W",,,"  250",",,W","  260",",,W","10.1",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-18","3.58",",,W",,,"0.20",",,W,2400","0.0",",,W,","0.0",",,W,",,,"84",",,W","64",",,W",,,"   80",",,W","   60",",,W","12.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-19","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"77",",,W","59",",,W",,,"   50",",,W","   50",",,W","13.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-20","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"80",",,W","62",",,W",,,"  220",",,W","  250",",,W","12.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-06-21","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"82",",,W","64",",,W",,,"  240",",,W","  260",",,W","10.1",",,W","21.0",",,W",,,,,,,,,,,,
